class,tweet
2,as a woman you should not complain about cleaning up your house as a man you should always take the trash out
1,boy dats cold tyga dwn bad for cuffin dat hoe in the st place
1,dawg you ever fuck a bitch and she start to cry you be confused as shit
1,she look like a tranny
1,the shit you hear about me might be true or it might be faker than the bitch who told it to ya
1,the shit just blows me claim you so faithful and down for somebody but still fucking with hoes
1,i can not just sit up and hate on another bitch i got too much shit going on
1,because i am tired of you big bitches coming for us skinny girls
1,you might not get ya bitch back that is that
1,hobbies include fighting mariam bitch
1,keeks is a bitch she curves everyone lol i walked into a conversation like this smh
1,murda gang bitch its gang land
1,so hoes that smoke are losers yea go on ig
1,bad bitches is the only thing that i like
1,bitch get up off me
1,bitch nigga miss me with it
1,bitch plz whatever
1,bitch who do you love
1,bitches get cut off everyday b
1,black bottle a bad bitch
1,broke bitch cannot tell me nothing
1,cancel that bitch like nino
1,cannot you see these hoes will not change
1,fuck no that bitch do not even suck dick the kermit videos bout to fuck ig up
1,got ya bitch tip toeing on my hardwood floors
1,her pussy lips like heaven doors
1,hoe what its hitting for
1,i met that pussy on ocean dr i gave that pussy a pill
1,i need a trippy bitch who fuck on hennessy
1,i spend my money how i want bitch its my business
1,i txt my old bitch my new bitch pussy wetter
1,i would say i am back to the old me but my old bitches would get excited
1,if you are not bout that murder game pussy nigga shut up
1,if you are toes are not done you pussy stinks
1,i am done with bitter bitches its a wrap for that if you a angry bird there is a app for that
1,is that ya bitch
1,it are not nothing to cut a bitch off
1,jus meet son now he ya mane ass bitches shots
1,lames crying over hoes that is tears of a clown
1,like snoop said in we do not love these hoes
2,momma said no pussy cats inside my doghouse
1,most hated but the hoes favorite
1,nice girls bad make me get naughty bad yello hoe real nice body down south chick like them real thick
1,pimps up pimps up hoes down future voice
1,post a picture of that pussy get likes
1,pussy is a powerful drug
1,quick piece of pussy call it a drive by
1,running round here like some brand new pussy that is bout to get fucked
1,these bitches even worst they will send them guys for you
1,these hoes like niggas that spend money not talk bout it
1,we do not trust these niggas all these bitches
1,you all niggas b cuffing hoes because you all are not never have bitches
1,you dodge a bullet all da bitches i cut off pregnant or bound to be thank god
1,young pill chamberlain these bitches love my music
1,teanna trump probably cleaner than most of these twitter hoes but
1,gay niggas could not wait to act like bitches tonight
1,and i am about to steal his cat n replace it with a pitbull he a bitch you should do it
1,he is gone always be a hoe
1,son of a bitch took my tic tacs i like this movie
1,all i want to do is get money and fuck model bitches russell simmons
1,i probably wouldn mind school as much if we didn have to deal with bitch ass teachers retweet
1,i am a fucking fag they said
1,females think dating a pussy is cute now how does doing this stuff make him a pussy
2,simplyaddictedtoguys woof woof hot scally lad
1,have ya ever asked your bitch for other bitches kanye voice yes
1,how you gone bring you are side bitch to a game where you know ya gf friends at i swear
2,woof woof and hot soles
2,lemmie eat a oreo do these dishes one oreo lol
1,bitch fuck you maybe you will get better just
1,fuck red malone man bitch ass niggah could you please use complete sentences
2,why the eggplant emoji doe y he say she looked like scream lmao
1,hennessey venom gt that is one sexy bitch
1,him seh me pussy wetter then a shower curtain ahmesehwetness lt lmao
1,and every need to see that pic i just posted because that bitch just said the most racist shit
1,yo fuck skateboarding all you all some wood pushing faggots man ball is life
2,baby monkey bathtime awwwwe this is soooo adorable
1,i are not shit damn skippy lol
1,you ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b gt chance
1,rings mvps bitches lol
1,people talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn
1,the facts on tattoos tattoo he is a pussy with not tattooing them nipples
1,bitches be wanting to act like niggas so bad that shit are not cuteeeee but niggas act like bitches
1,get worshiping bitch woof woof
1,wow i am lost are those buttcheek piercings yeah she is a hoe
1,ok sis she would rather be a broke bitch shrugs she will have to tell me how it works for her
0,queer gaywad
1,faggot read my tweets after dat k it was not even funny lol
1,this bitch was so ungrateful fr lulwhore
1,i been kidnapped yo bitch
0,alsarabsss hes a beaner smh you can tell hes a mexican
1,happy birthday nigs thanks yo
1,when you are teacher tells you that you have homework this bitch need to go
1,that nigga was eating that hoe lol hell yea lol john paul nigga said john paul
1,what would you all lil ugly bald headed bitches do if they stop making make up weave
1,leafs better win this damn game so i can go riot and shit you better start looting my nig
1,going back to school sucks more dick than the hoes who attend it
1,on my way to fuck yo bitch me as a year old
1,how come you never bring me food i do not have a car retard
1,if richnow does not show up with hella tinder hoes i am not his friend anymore chill i brought like like prople
1,how bout them cowboys shutup pussy
1,lmaooooooooooo this nigga want likes for some depressing shit foh
1,girl you know i was spitting that g shit to you you was going lbvs bitch plz
1,let me make a couple tweets off cuzzo page so i will not get in twitter jail lmao bitch do not trick me again
1,harlem shake is just an excuse to go full retard for seconds
1,amen miley but she do not need to act like a hoe just because she is emotionally damaged foh
1,having one loyal female is wayyyyy better than having hoes idc
1,pussy licking pussy meow meow
1,check out our th man even with all those faggot ny fans in the stands
1,what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
1,i am the bitch okay nudes pat wow
0,you are fucking gay blacklisted hoe holding out for anyway
1,the fuck be wrong with these bitches nobody knows
1,you all shut up p make me bitch
